date,Average Hookload kkgf,Block Position m,Averaged RPM rpm,Rate of Penetration (5ft avg) m/h,SWOB30s kkgf,Bit Depth (MD) m,Casing (choke) pressure kPa,Stand Pipe Pressure kPa,Gas (avg) %,TVT m3,Average Surface Torque kN.m Smoothed
2009-05-09 23:55:30+00:00,134.8540196,13.961872,159.6111111,0.77724,18.15427862,3309.020221,58.77777735,22135.05546,0.027522222,311.0072258,18.31464538
2009-05-09 23:56:00+00:00,134.8149422,13.95570343,159.6071429,0.77724,18.20136583,3309.027237,53.39285699,22050.07133,0.02655,311.0153601,18.12789452
2009-05-09 23:56:30+00:00,134.5829621,13.946886,159.6428571,0.77724,18.28187848,3309.036163,36.99999941,22100.92866,0.028103571,311.0728584,18.23286995
2009-05-09 23:57:00+00:00,134.7563615,13.93979354,159.6153846,0.77724,18.37729487,3309.042912,37.53846185,22099.96185,0.025069231,311.1742313,18.04790655
2009-05-09 23:57:30+00:00,134.6563469,13.93349657,159.7142857,0.77724,18.33047766,3309.049988,48.8571431,22062.64289,0.02515,311.0700017,18.14122222
2009-05-09 23:58:00+00:00,134.7882875,13.92736708,159.1153846,0.77724,18.30559238,3309.054987,63.00000113,22134.57677,0.024746154,311.0269234,18.70761934
2009-05-09 23:58:30+00:00,134.7860195,13.92138831,159.5384615,0.749104615,18.22097996,3309.061552,63.384615,22126.5767,0.024642308,310.8884594,18.99069705
2009-05-09 23:59:00+00:00,134.9105206,13.91607943,160.1428571,0.73152,18.14304681,3309.066752,70.82142894,22078.17862,0.025228571,310.882502,19.00454765
2009-05-09 23:59:30+00:00,134.8516159,13.90849292,159.3461538,0.73152,18.12991257,3309.074213,67.88461575,22096.46143,0.026361538,310.9023103,18.51392013
2009-05-10 00:00:00+00:00,134.7554892,13.901928,159.1538462,0.73152,18.18661162,3309.080778,52.99999966,22142.88447,0.027388462,311.0084628,18.28411355
2009-05-10 00:00:30+00:00,134.7609971,13.89572314,159.1428571,0.73152,18.22485543,3309.086673,56.46428508,22101.07144,0.028596429,311.2389294,18.66064403
2009-05-10 00:01:00+00:00,134.7451962,13.88903262,159.6538462,0.73152,18.22412022,3309.093907,62.99999975,22117.96147,0.030184615,311.33654,18.9200491
2009-05-10 00:01:30+00:00,135.032355,13.88305385,159.4230769,0.73152,18.11229225,3309.100238,67.53846224,22122.7694,0.030557692,311.5503833,19.27846172
2009-05-10 00:02:00+00:00,135.4355538,13.87591114,159.4285714,0.73152,17.79459067,3309.107138,60.39285766,22093.14308,0.030710714,311.3975026,20.49496029
2009-05-10 00:02:30+00:00,135.9262809,13.86500031,158.3076923,0.73152,17.28291605,3309.118174,49.0000005,22091.07672,0.030592308,311.4788506,21.29481975
2009-05-10 00:03:00+00:00,136.4217434,13.84976031,141.3076923,0.73152,16.82618342,3309.133414,42.99999957,22082.30755,0.029765385,311.4830788,24.02336703
2009-05-10 00:03:30+00:00,136.7073944,13.83117086,141.4285714,0.73152,16.48775865,3309.15264,39.10714281,22102.60718,0.028642857,311.3635706,26.43486428
2009-05-10 00:04:00+00:00,136.6352807,13.81189477,143.6153846,0.73152,16.35619194,3309.17128,55.15384605,22052.26928,0.027265385,311.3396161,26.96940029
2009-05-10 00:04:30+00:00,137.39278,13.85527015,146.7692308,0.73152,16.42021825,3309.128256,30.46153864,22077.19204,0.026376923,311.4030823,26.27075635
2009-05-10 00:05:00+00:00,141.6142919,13.99413,156.75,0.73152,13.93743555,3308.988592,48.4285708,22045.0713,0.025675,311.3300036,24.22339694
2009-05-10 00:05:30+00:00,147.4316514,14.24775877,159.1153846,0.73152,8.64320261,3308.731782,54.23076875,22020.11525,0.025484615,311.3061581,20.2963738
2009-05-10 00:06:00+00:00,151.6894881,14.514576,159.6153846,0.73152,2.679335238,3308.469888,75.00000115,22081.53839,0.026392308,311.3284633,17.35993179
2009-05-10 00:06:30+00:00,151.1536634,14.52110743,164.1071429,0.73152,1.513378543,3308.463357,67.46428715,22311.57118,0.027489286,311.2110729,16.1774738
2009-05-10 00:07:00+00:00,151.0572501,14.53684985,164.4615385,0.73152,1.97556923,3308.44738,70.03846123,22211.34632,0.029661538,311.4146187,16.374455
2009-05-10 00:07:30+00:00,151.0994691,14.545056,164.1538462,0.73152,1.933524706,3308.439408,63.23076785,22272.80778,0.031226923,311.2619239,16.27275821
2009-05-10 00:08:00+00:00,152.069758,14.71792114,164,0.73152,1.682341701,3308.265128,61.57142797,22281.89256,0.032717857,311.130716,15.85446186
2009-05-10 00:08:30+00:00,145.4909739,14.10696462,164.1153846,0.73152,2.869320657,3308.881954,49.34615367,22274.42328,0.034734615,311.1334625,17.42336437
2009-05-10 00:09:00+00:00,138.3987083,13.83194123,161.1538462,0.73152,12.00170519,3309.152288,43.19230731,22091.30748,0.035661538,311.3138485,21.42357211
2009-05-10 00:09:30+00:00,136.3639602,13.73494114,135.7142857,0.719328,15.83037371,3309.248217,41.28571397,22107.64285,0.037146429,311.3339317,23.73110107
2009-05-10 00:10:00+00:00,136.3592872,13.71095908,137.9807692,0.719328,16.71313425,3309.271629,39.19230771,22211.61525,0.038425,311.2567319,23.66611475
2009-05-10 00:10:30+00:00,136.2879336,13.69349169,139.4038462,0.719328,16.61316947,3309.289448,46.11538462,22103.00002,0.039644231,311.3074998,23.33793788
2009-05-10 00:11:00+00:00,136.3490564,13.67583171,140.8214286,0.719328,16.55450153,3309.307435,71.82142852,22066.96439,0.040596429,311.346434,19.76086103
