date,Hole Depth (ft),Bit Position (ft),Flow In Rate (galUS/min),Pump Pressure (psi),Hook Load (klb),Bit Weight (klb),Total KW
2023-03-04 11:50:00+00:00,188.896089,188.925266,659.516901,1024.260132,56.3143681,7.39216211,1177.472427
2023-03-04 11:50:10+00:00,190.34839,190.377206,659.88745,1062.31709,53.0394407,9.7482758,1206.253207
2023-03-04 11:50:20+00:00,191.725036,191.749006,659.88745,1064.94697,48.7675683,13.3379748,1213.759845
2023-03-04 11:50:30+00:00,192.894584,192.921776,659.88745,1012.482843,53.4918967,11.81172196,1193.205838
2023-03-04 11:50:40+00:00,194.336261,194.365399,659.88745,950.309324,55.34053,7.3417238,1189.446364
2023-03-04 11:50:50+00:00,195.752758,195.780967,659.770961,1099.891875,52.408353,11.215546,1218.692462
2023-03-04 11:51:00+00:00,197.197048,197.226107,659.887445,1024.35959,55.67054,7.72062611,1174.914409
2023-03-04 11:51:10+00:00,198.653249,198.682511,659.88745,1036.82824,54.1978344,9.0655607,1171.163552
2023-03-04 11:51:20+00:00,200.109449,200.138644,659.88745,980.64187,55.718387,7.76388665,1143.895671
2023-03-04 11:51:30+00:00,201.565683,201.594849,659.88745,951.203531,56.1004167,7.09133987,1139.015987
2023-03-04 11:51:40+00:00,203.019607,203.04858,659.88745,1015.605281,52.8728953,9.8154745,1162.663497
2023-03-04 11:51:50+00:00,204.454799,204.482605,659.88745,1074.44672,52.1280782,11.3202758,1177.594296
2023-03-04 11:52:00+00:00,205.922549,205.922549,659.88745,1060.0983,52.3599587,11.0406943,1179.306617
2023-03-04 11:52:10+00:00,207.37585,207.37585,659.88745,1014.915125,53.3024207,10.15424485,1168.184532
2023-03-04 11:52:20+00:00,208.858874,208.858874,659.88745,977.774692,54.5363944,8.87749026,1185.061542
2023-03-04 11:52:30+00:00,210.317043,210.317043,659.88745,966.020188,54.5582004,8.73689635,1162.041842
2023-03-04 11:52:40+00:00,211.773308,211.773308,659.88745,1022.736606,53.4014817,9.9496751,1185.099703
2023-03-04 11:52:50+00:00,213.192416,213.192416,659.88745,1050.13084,51.5690717,11.57510895,1204.856022
2023-03-04 11:53:00+00:00,214.007299,213.456257,660.460805,882.955242,62.5692205,2.038600526,1172.904186
2023-03-04 11:53:10+00:00,214.09335,204.491669,659.895298,726.985688,66.5902324,-3.24524371,1242.175018
2023-03-04 11:53:20+00:00,214.09335,190.436078,659.88745,723.236294,67.0218245,-3.62167384,1247.928712
2023-03-04 11:53:30+00:00,214.09335,179.460783,659.88745,724.094052,68.3933244,-4.90419964,1077.164392
2023-03-04 11:53:40+00:00,214.09335,174.554054,659.88745,716.291177,67.3753451,-4.13614835,1169.320745
2023-03-04 11:53:50+00:00,214.09335,162.955478,659.88745,713.354518,67.31027,-4.00935658,1233.448461
2023-03-04 11:54:00+00:00,214.09335,150.063712,659.88745,707.531169,67.7508574,-4.29944397,1202.584831
2023-03-04 11:54:10+00:00,214.09335,149.683226,659.88745,712.567489,71.9873545,-8.26203545,944.6767835
2023-03-04 11:54:20+00:00,214.09335,161.863919,659.88745,705.787543,71.8138852,-8.4065764,962.078202
2023-03-04 11:54:30+00:00,214.09335,173.616036,659.88745,717.919908,71.7323893,-8.3514078,985.5952223
2023-03-04 11:54:40+00:00,214.09335,185.409664,659.88745,718.969191,71.702458,-8.3065162,966.5331947
2023-03-04 11:54:50+00:00,214.09335,199.008655,659.88745,720.944215,71.7497605,-8.41389915,959.2247489
2023-03-04 11:55:00+00:00,214.09335,209.155482,651.67691,697.471584,70.5230944,-7.27195512,851.5319437
2023-03-04 11:55:10+00:00,214.09335,211.93668,425.928067,333.758466,58.9407416,1.23385941,702.96255
2023-03-04 11:55:20+00:00,214.09335,212.37143,131.6948947,71.410484,42.5329846,20.9163698,637.792179
2023-03-04 11:55:30+00:00,214.09335,212.37143,25.0571382,41.3144146,42.3481791,20.9113141,652.422614
2023-03-04 11:55:40+00:00,214.09335,212.37143,3.653060153,45.3420419,42.0274446,21.3121159,650.834624
2023-03-04 11:55:50+00:00,214.09335,212.37143,2.72e-05,48.6507425,44.490618,18.9075933,737.904485
2023-03-04 11:56:00+00:00,214.09335,212.37143,0,50.145666,44.5216043,19.0124213,1245.311606
2023-03-04 11:56:10+00:00,214.09335,212.37143,0,50.6999293,45.7144088,17.8603489,740.2384573
2023-03-04 11:56:20+00:00,214.09335,212.37143,0,51.199368,47.3265458,15.9508018,615.655106
2023-03-04 11:56:30+00:00,214.09335,212.37143,0,51.5250547,46.9701553,16.4673743,637.605067
2023-03-04 11:56:40+00:00,214.09335,212.37143,0,51.5253217,45.1428017,17.5835308,1353.427874
