,Step_0 Pred,Step_1 Pred,Step_2 Pred,Step_3 Pred,Step_4 Pred,Step_5 Pred,Step_6 Pred,Step_7 Pred,Step_8 Pred,Step_9 Pred,Step_10 Pred,Step_11 Pred,Step_12 Pred,Step_13 Pred,Step_14 Pred,Step_15 Pred,Step_16 Pred,Step_17 Pred,Step_18 Pred,Step_19 Pred,Step_20 Pred,Step_21 Pred,Step_22 Pred,Step_23 Pred,Step_24 Pred,Step_25 Pred,Step_26 Pred,Step_27 Pred,Step_28 Pred,Step_29 Pred,Step_30 Pred,Step_31 Pred,Step_32 Pred,Step_33 Pred,Step_34 Pred,Step_35 Pred,Step_36 Pred,Step_37 Pred,Step_38 Pred,Step_39 Pred,Step_40 Pred,Step_41 Pred,Step_42 Pred,Step_43 Pred,Step_44 Pred,Step_45 Pred,Step_46 Pred,Step_47 Pred,Step_48 Pred,Step_49 Pred,Step_50 Pred,Step_51 Pred,Step_52 Pred,Step_53 Pred,Step_54 Pred,Step_55 Pred,Step_56 Pred,Step_57 Pred,Step_58 Pred,Step_59 Pred,Step_0 True,Step_1 True,Step_2 True,Step_3 True,Step_4 True,Step_5 True,Step_6 True,Step_7 True,Step_8 True,Step_9 True,Step_10 True,Step_11 True,Step_12 True,Step_13 True,Step_14 True,Step_15 True,Step_16 True,Step_17 True,Step_18 True,Step_19 True,Step_20 True,Step_21 True,Step_22 True,Step_23 True,Step_24 True,Step_25 True,Step_26 True,Step_27 True,Step_28 True,Step_29 True,Step_30 True,Step_31 True,Step_32 True,Step_33 True,Step_34 True,Step_35 True,Step_36 True,Step_37 True,Step_38 True,Step_39 True,Step_40 True,Step_41 True,Step_42 True,Step_43 True,Step_44 True,Step_45 True,Step_46 True,Step_47 True,Step_48 True,Step_49 True,Step_50 True,Step_51 True,Step_52 True,Step_53 True,Step_54 True,Step_55 True,Step_56 True,Step_57 True,Step_58 True,Step_59 True
0,1088.3748173064903,979.1814576594455,968.5838650209971,1045.6237352267715,1204.705995424985,1313.9494020463576,1417.1979822059304,1532.4327932737642,1583.8771942290434,1585.5425491028323,1568.7385872361942,1455.9439064240519,1445.0595644548391,1439.1550325341343,1453.5617171098897,1472.4855397057515,1507.0695155413046,1505.8726656766084,1567.3210951552305,1540.5894001526863,1462.9269175879656,1381.4143566749497,1367.107610501698,1374.0664342390135,1417.330274208,1449.6034564130475,1460.7561932671174,1470.8421168393604,1453.0475593052563,1492.7297158108047,1455.2989343057905,1416.1852989849149,1412.5989491369241,1438.6533184216412,1461.3897327432246,1471.43692532368,1481.569668287602,1499.4970622353069,1533.493384709521,1556.1216166825573,1580.216882185892,1611.6635699135775,1619.6770743328827,1614.8934079817407,1612.2305356367326,1593.2598158761161,1579.0486528131194,1570.6347725991907,1574.6099100534989,1548.3615747175404,1551.3518717119975,1599.547535741675,1657.8244569590424,1637.111464752593,1621.8411101692054,1598.026216604413,1581.0534093900426,1585.9155487747462,1623.9697592560033,1548.124055743807,1292.5032430536005,1307.367544407826,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767
1,1414.3088679831915,1011.7849032312115,1004.9785924956941,1077.521506794553,1258.653911692797,1333.462977876607,1390.064044854942,1473.767317769307,1579.5387787373063,1616.5565074363292,1521.9423719338768,1459.3600110089444,1417.8039122401008,1414.7037218894272,1461.8293061680906,1525.1312235910518,1499.0483115874872,1566.7706950972374,1588.8764475465211,1551.6121004238873,1478.2637681512294,1401.5375956470114,1383.5351506810837,1393.4077427061916,1417.5798480084945,1443.8939015935703,1458.6826075180418,1480.8092809247366,1525.3177234270088,1534.2774928605293,1504.9955409268493,1463.4294094312174,1454.6971262446418,1496.9159293930472,1536.9427761708896,1557.453869472358,1561.60594067429,1546.417792232106,1529.6414398074048,1525.409806748849,1542.5253275574569,1569.825310425446,1578.4813759976607,1572.9743422677714,1569.086621750751,1558.0269792685076,1548.1052346594445,1545.3807660383404,1553.6688871885733,1532.373374643793,1535.521473209208,1582.4478806405461,1591.0981910051457,1615.4092767940435,1602.2645381474945,1584.9370857071174,1573.045193539897,1580.895374499857,1568.2178964931868,1542.0200358834736,1307.367544407826,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623
2,1519.0079937809762,1127.5372941190176,1087.8916131860565,1246.97519552656,1324.9581031639004,1426.7808695233905,1546.9240949560758,1643.174187109635,1667.0376110737757,1596.9585478187514,1581.1238717967885,1559.9393414312872,1536.5297233648982,1530.538863329968,1550.3588650791792,1523.187130013314,1549.807998382731,1617.8811384646938,1658.3411812751801,1642.5212043645581,1599.2419653265479,1506.8341742136959,1473.6553245400419,1483.0917651556224,1512.54435121778,1542.1172522283218,1552.6878576094405,1546.704152697491,1569.5058186297367,1579.5027698031745,1559.7071887997895,1523.2200280244106,1503.4617003243713,1532.004341398749,1545.4800822562374,1564.0766357488021,1571.2851110596878,1567.4048567579516,1563.037354135836,1550.112946613251,1546.7603826313514,1560.6738303598847,1567.999976334575,1568.9173875376391,1576.0356460805058,1570.7745308165447,1575.8768334595616,1583.4934618726584,1601.9802775551582,1587.462377480896,1584.0324292884973,1570.637105791467,1605.1713846315338,1611.7784407466502,1593.2787925066305,1582.4783676862905,1586.1034485260689,1552.1865323623267,1621.3908818329442,1437.4357809187613,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623,1748.0938773506118
3,1561.8300826789723,1413.9341573036083,1519.6389667455796,1533.3316167116936,1588.799763293705,1660.1803589735578,1706.5465669393423,1718.8191583129885,1626.839196890545,1631.5969648074195,1624.9448003082935,1611.2330181655134,1597.071007686472,1597.380466755393,1575.913075712921,1600.974982776351,1602.7157775337423,1638.9721078199132,1689.3682832585002,1683.6065427051085,1616.1149119114903,1544.8859737296007,1508.5361602062237,1520.4969593186725,1555.7884368254934,1590.2583973318083,1568.821260015853,1572.2636519003927,1577.66032563561,1563.735834130302,1529.6545056841524,1496.4719229028562,1514.6952434042792,1515.19190226684,1534.6893012973067,1554.6842146941688,1568.4718255859304,1571.1612185498132,1567.2535103522919,1569.885584559252,1578.6590874760434,1593.248305460886,1601.482607642611,1605.5455508995858,1624.44215291889,1606.541124043908,1605.2217038116273,1611.512612373297,1627.8017942506947,1617.4786627970218,1592.4703413828722,1630.3712611315725,1665.266873682171,1658.4768175195125,1631.2503302082284,1623.037026756991,1570.6680594756667,1594.946947211151,1650.840045879763,1518.981939800557,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623,1748.0938773506118,1744.9277354315932
4,1602.6261051772542,1582.5835946579543,1555.2038166141137,1566.2230170969,1612.3947145999123,1671.874940847274,1707.7651932652843,1605.098822351739,1608.2917959819358,1620.7746857527577,1626.5932006515409,1621.037947614607,1616.7352299646982,1588.5559447008254,1620.1252027960954,1630.135842030888,1615.4143320439757,1629.7213115364548,1687.8142994293696,1651.2210561784923,1629.6664037448845,1570.511735593151,1531.2562421818725,1543.5764306779565,1575.8756668634235,1567.5759575248846,1568.7699297857732,1567.9731446233968,1553.0718232850531,1520.3477905591374,1493.7500207932562,1493.4655268816923,1475.3272901252803,1491.235928342404,1511.783186124156,1535.924337742259,1558.4761965547825,1541.9582840612259,1557.3170666318877,1563.8202179176303,1576.4864188282982,1593.1218464395074,1604.5116356288554,1636.217074379989,1636.3589324703917,1623.9354613295409,1621.2694002884218,1628.7342934304793,1637.4413781404703,1601.2485106842162,1602.9653513342366,1646.6084128212074,1685.464463714773,1682.0356821185123,1656.8368944415358,1621.322985937702,1596.7932800325093,1611.5627760072387,1663.6084406121354,1562.3850713484421,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623,1748.0938773506118,1744.9277354315932,1719.114851547479
5,1600.996914783749,1625.346887110586,1573.196306626329,1561.983995596136,1599.8978256754322,1656.09991677451,1579.1363808427104,1592.1564492486261,1602.491557755984,1622.1258373999972,1632.2167384490963,1628.936892293143,1588.1226708951056,1614.4133925574179,1637.51082949723,1637.1939042130246,1618.6336707468952,1633.751434555409,1616.8095032521621,1671.4583104797923,1647.1682234213815,1595.6441828364027,1562.9306494757307,1571.9785358042216,1560.3716819600963,1578.314552749901,1576.9475353951825,1565.7896655181046,1532.2025071960877,1500.2408061599342,1510.443933757526,1478.6127359426969,1473.3664753362286,1489.5066440002429,1506.0534103049504,1526.5783472139253,1508.4530207881094,1532.9921372354834,1548.31063335284,1553.1383970380052,1565.8599723786988,1580.559783677441,1610.532360524923,1619.5550483768293,1623.9549045985104,1619.0974315983594,1617.9819323710324,1626.0935086390207,1622.862815067023,1598.297877958457,1607.2879788915704,1653.4573432023062,1691.8780204171035,1687.2572886599269,1643.4967898283796,1621.5215406004202,1598.8274348321147,1614.9378164080674,1669.2779422975352,1571.6440338048676,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623,1748.0938773506118,1744.9277354315932,1719.114851547479,1733.3834111404742
6,1612.649965834946,1629.2627614810744,1580.6305571764904,1559.7552525606823,1580.7791815244946,1538.0700969057502,1559.3234564434042,1588.8307947509804,1604.324824700595,1624.2113224296822,1635.830619965948,1585.8403422103715,1597.7182352239338,1622.466094606966,1642.3984784508218,1635.8944716612446,1613.0039111032695,1591.3012565062647,1618.4740026221164,1685.088897531355,1667.3299600660034,1624.9889754153926,1600.298357016207,1556.8583610303556,1582.0403497229422,1599.8792379102972,1601.74586950446,1581.618197467073,1537.4778549329346,1549.271753024548,1517.9809225409233,1498.0343839972577,1500.314535035867,1519.69123025257,1538.1870676118717,1503.5668495229593,1519.6683649682616,1542.1192743282948,1555.1865509912686,1558.0862423523272,1573.9055193052661,1584.9205200419551,1598.2647466281328,1606.7147135492692,1612.8372434016617,1611.4398167742747,1611.9140769909825,1628.828554398444,1621.482498516329,1601.552370091674,1617.2527320115944,1661.6952229455214,1695.9528629546878,1662.1950705041934,1644.6393540861125,1628.8860287015184,1612.5459054594205,1625.3554421489328,1674.7458561702574,1506.7875103681688,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623,1748.0938773506118,1744.9277354315932,1719.114851547479,1733.3834111404742,1785.767388625443
7,1712.1659049908003,1679.2711603633309,1595.6053740715395,1567.5850569747624,1564.8312679040523,1578.987212083175,1598.233326305478,1620.9370759351923,1639.2969659578582,1656.7135463431923,1604.9697190457805,1601.3787805863128,1610.7672352140764,1643.3015016348484,1677.5183107791784,1677.3683642888845,1607.5204426153716,1615.8854813376483,1640.9176013130168,1696.2311350201815,1676.4920172698842,1651.8258973896004,1596.1094213763088,1588.3763666686216,1592.9400907611791,1612.2701999054307,1624.8072197370643,1602.1991309906805,1575.7274313807986,1578.8070118663645,1589.6961757662818,1563.4924821758777,1532.1920078308442,1532.7214869314257,1520.669537774047,1534.7714296654344,1542.6674189670873,1532.8496569604738,1519.9197275495014,1544.0819556711676,1546.2913332107273,1580.532874193187,1598.6406239038542,1610.2589881632096,1627.0806822911482,1637.3744932952145,1629.1706003861584,1637.228124366411,1633.3329376341062,1618.994537818972,1635.1666712171723,1671.744359852874,1646.5750481716555,1661.4161731492688,1644.2972303253223,1620.05302938168,1617.1968131700378,1635.6963836369816,1614.923972800561,1475.7870845498749,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623,1748.0938773506118,1744.9277354315932,1719.114851547479,1733.3834111404742,1785.767388625443,1827.6607892243721
8,1711.7307646312593,1693.4111610618986,1597.7198684585273,1600.729608721954,1601.4114452781819,1623.6979423558075,1650.9522724282558,1666.5147426846436,1670.680579721006,1615.396833101903,1611.7970285117851,1603.9344038596844,1614.1509861994034,1650.9506391936625,1691.4477797613429,1661.14894486055,1628.6128896590328,1647.6770926568554,1669.6797180075241,1718.4185491991377,1703.9182258400242,1637.158984101955,1631.239830842985,1628.5836469825024,1631.8562602423988,1643.3231225499426,1669.9525459577062,1647.6189183960983,1663.7677976446107,1681.7018800768412,1673.0272267394917,1631.1172604754001,1591.897698225178,1601.0682326943295,1586.0410745192144,1580.8959189113882,1576.8621405578679,1560.9258928988074,1552.4317508705722,1533.0315681849538,1566.8448906116257,1589.4961434151219,1600.7922160480364,1625.5665960499432,1649.713580648737,1630.36262832015,1623.6685441331254,1623.2386923427443,1640.416509385131,1633.4979721011207,1640.2860061638066,1610.6550864386593,1645.632127399703,1663.1372913184628,1646.4537221732846,1619.7785681969044,1620.8959339780527,1578.3822153259155,1622.656405323641,1644.9581459241388,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623,1748.0938773506118,1744.9277354315932,1719.114851547479,1733.3834111404742,1785.767388625443,1827.6607892243721,1800.1072661290189
9,1699.2412641489875,1674.8158519385481,1624.0259891898636,1600.0142519700225,1604.373510646095,1626.8344527329164,1651.9250580613457,1667.5208929672854,1618.20654101417,1616.3748295310766,1612.3406623121766,1606.0216776701147,1618.7007111383027,1658.9200462789447,1669.7895335906646,1664.1404862242211,1633.4985165126518,1655.8627088930803,1677.496845410236,1721.1589613007968,1657.3809171073067,1644.5765134408025,1642.8781050097652,1644.322506574983,1650.4270708468475,1659.6287923194266,1643.5803958849492,1652.2762812720134,1672.9405875329628,1682.7267736707697,1660.5710909067718,1615.8758374762394,1607.1732636046495,1590.8591943429708,1581.8601495061314,1573.458946303571,1565.8023425294728,1552.3256683950738,1510.9494587507372,1542.2281566345248,1576.4333775905488,1596.1772394984748,1602.740276052644,1618.9590732963713,1615.2171772966233,1624.342836700993,1615.2728628189525,1612.8450207092496,1636.526455675834,1633.5147710855103,1586.7465540905093,1609.2400053230479,1641.910685718911,1660.9283804173583,1646.641933016911,1620.8984227164806,1567.993365623125,1583.4220661890017,1624.670183577366,1532.0166295447377,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902,1673.789480656178,1764.6016015712282,1759.5458072275867,1710.4486754754003,1723.9736466899199,1749.8726253690315,1797.271115370953,1746.8997495435713,1760.552813014063,1820.1886631862578,1839.2765091991478,1843.0864566402895,1764.333206686371,1776.5422574570246,1791.8891407470767,1775.0828456881623,1748.0938773506118,1744.9277354315932,1719.114851547479,1733.3834111404742,1785.767388625443,1827.6607892243721,1800.1072661290189,1813.7246317576823
