,Step_0 Pred,Step_1 Pred,Step_2 Pred,Step_3 Pred,Step_4 Pred,Step_5 Pred,Step_6 Pred,Step_7 Pred,Step_8 Pred,Step_9 Pred,Step_10 Pred,Step_11 Pred,Step_12 Pred,Step_13 Pred,Step_14 Pred,Step_15 Pred,Step_16 Pred,Step_17 Pred,Step_18 Pred,Step_19 Pred,Step_20 Pred,Step_21 Pred,Step_22 Pred,Step_23 Pred,Step_24 Pred,Step_25 Pred,Step_26 Pred,Step_27 Pred,Step_28 Pred,Step_29 Pred,Step_30 Pred,Step_31 Pred,Step_32 Pred,Step_33 Pred,Step_34 Pred,Step_35 Pred,Step_0 True,Step_1 True,Step_2 True,Step_3 True,Step_4 True,Step_5 True,Step_6 True,Step_7 True,Step_8 True,Step_9 True,Step_10 True,Step_11 True,Step_12 True,Step_13 True,Step_14 True,Step_15 True,Step_16 True,Step_17 True,Step_18 True,Step_19 True,Step_20 True,Step_21 True,Step_22 True,Step_23 True,Step_24 True,Step_25 True,Step_26 True,Step_27 True,Step_28 True,Step_29 True,Step_30 True,Step_31 True,Step_32 True,Step_33 True,Step_34 True,Step_35 True
0,1206.1063774292554,1369.30788859138,1388.2321778256971,1412.6652117975727,1444.2172820430735,1475.9108215135977,1504.928500535442,1534.1817542041226,1570.965930356282,1595.3106918870353,1602.3932525880737,1607.0121177914289,1602.1357459338394,1588.0904728416917,1567.8836278130605,1553.2876435706164,1550.1383006359874,1570.9248661722181,1585.828520702838,1599.141871377892,1604.3223359621668,1600.9415403537232,1594.2678327125789,1601.1995914194886,1606.2696182360157,1620.801361917784,1637.7777466936452,1648.2743898796032,1648.232781284008,1642.5663905216436,1638.9431762356865,1638.5673767330409,1642.2948069406755,1649.12740497584,1656.1148492050786,1659.9810265800809,1292.5032430536005,1307.367544407826,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554
1,1417.8461430203029,1400.9051449939666,1411.7421231599694,1432.3560324677494,1441.649526169865,1487.0175167067475,1522.475817461328,1553.4835539487547,1583.6028108173437,1600.1341002799513,1600.5820731970123,1598.1550088180682,1590.9523664878732,1576.2336563316926,1558.584145584102,1550.2324060578005,1562.758693204963,1576.4507987595457,1592.9744664607174,1605.2952771414084,1608.7617786794704,1604.7410662026973,1608.0031023242743,1603.174094269895,1608.7680005255406,1623.366940144868,1640.184434526709,1650.849067556565,1646.9339709168353,1643.3717307223667,1640.535113325846,1641.3854841375028,1646.6719534242002,1655.4336348334577,1662.0822995441692,1683.4173985845719,1307.367544407826,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027
2,1445.054431431831,1445.5461128175357,1451.9489368353948,1433.3458504044565,1464.0994244799117,1508.331539243587,1544.9842011244355,1576.572513623296,1604.5775871972005,1606.38728889982,1607.9838146014565,1604.0484191889223,1595.5381003609043,1580.3846387105623,1564.9084965683996,1558.6908502442075,1563.9668201656614,1577.2361512797681,1591.4003394049341,1601.6713628977682,1605.748538627629,1610.3095406625307,1602.5907962008052,1600.358008965406,1606.71168039931,1621.2332358081383,1638.2261084760855,1639.0007283118366,1641.0204173193285,1639.9030515381803,1639.7037969177793,1642.9905648774857,1650.3435425633538,1652.569485768076,1663.616373465875,1709.690232439432,1297.4567658024616,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278
3,1449.6291215280874,1475.6917347588476,1449.9191373280387,1454.174802267041,1479.027966394813,1520.2088100725423,1556.0887964445367,1585.855974598623,1590.519481547533,1604.4211077685327,1605.8575764800107,1602.2333511440672,1594.4270341989024,1580.9244616302358,1562.6233680529342,1556.326237645194,1563.4970707873545,1576.1652160249196,1588.4747496096081,1597.370822893984,1606.2208545174399,1601.818820649634,1596.700030114531,1596.0563023654836,1602.6096950582437,1616.972515619204,1624.1212612078148,1632.715341638554,1636.1643442345433,1636.1403901271726,1636.4601152421096,1640.1424370657346,1639.5742269733655,1647.7758644632213,1659.6180596349552,1734.2245269561015,1336.838951554346,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804
4,1461.7282789425244,1482.947340553716,1476.0167484429444,1477.5469337108564,1497.0816638177446,1533.7955331093094,1567.7034275962496,1564.5182312736408,1591.4443589658815,1604.4117749994273,1605.6462670328485,1602.4689257909035,1595.9449313208254,1577.1005150354358,1560.986400351841,1558.0084692764485,1566.6597906910345,1578.6251784149601,1589.2769011142202,1598.7159860143806,1601.3196730486452,1598.510665094061,1595.3404789750969,1595.8348824184573,1602.4469160104297,1608.8781272009846,1621.3194861492875,1630.7299505575247,1634.695988561955,1634.7039214156946,1634.7250756923336,1629.4351066172217,1635.224689931778,1644.6084781749885,1657.3582851422261,1721.2196242999821,1335.5845496134998,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069
5,1509.8481142232201,1510.9852343656414,1503.1328757595566,1504.1785347647444,1521.6584224338437,1555.2514915096274,1551.5319941557323,1580.9099958381223,1605.3624730789675,1615.9741426441499,1615.1912788623558,1611.2475617307027,1597.957854070716,1584.3161454693025,1571.903951424454,1571.736661538239,1580.5688053542428,1590.7400459907246,1595.3244577214657,1603.9996554703464,1606.9138126235184,1605.346840690716,1603.2751214954612,1604.0784395962114,1602.6384710963189,1614.1138106691333,1627.181865062866,1636.7498199497575,1640.273562471666,1639.4448903481793,1627.1535556632464,1630.947015212302,1637.6533097722395,1648.466722696251,1662.3616604327253,1721.3264067331636,1391.5273452775984,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645
6,1550.4028068670507,1548.5693066032122,1539.969393191782,1540.9699438129605,1557.1948851296822,1548.6242921678584,1578.9143387110769,1606.8143408594697,1629.4677713090905,1638.2229197799745,1635.823075977588,1620.6952016692098,1614.5143420099082,1604.0246206277036,1595.4277403662327,1597.2954607834577,1605.3817608017855,1602.6125726620512,1612.665987088577,1620.440183753404,1623.6830099252388,1623.0138503803792,1621.422302155599,1611.4155515746006,1616.3741295733937,1627.7866285008984,1640.821473791231,1650.0053074563577,1652.7237875506191,1634.4170165387784,1634.9793936504566,1638.7803194147966,1646.5792479177528,1659.1624649564583,1674.6453733562223,1717.7227912623275,1626.5855011170288,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917
7,1679.1667888955017,1604.7789416906503,1594.412568406789,1595.5162461265825,1578.6147568227925,1602.9438081922183,1629.7623757205188,1653.5660699623845,1669.6050558546806,1672.0723289138539,1651.2765861546698,1646.7787358573814,1641.9855034179063,1633.9457894720297,1627.1524668401842,1628.8098888602333,1618.3816859810486,1624.744612410982,1632.1120558889636,1638.6843474391624,1642.0899526588112,1641.8277018469485,1629.216875366306,1625.2196503584487,1629.373277021898,1640.8912362402941,1654.2419179917697,1662.9203044367614,1644.0380126634188,1641.082869099259,1640.0131782136245,1644.0485898017384,1654.2728716759693,1670.1453454128093,1662.3274402793388,1719.0348230524,1689.244701840929,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444
8,1690.0464644801618,1616.092124400258,1606.6271410658298,1589.2233154649398,1604.0850503076613,1629.8261496427392,1652.5708079103658,1667.5882444509962,1674.9000801797247,1651.6394753267193,1645.2251408936302,1641.0774249839474,1638.5274013720393,1633.5745008077852,1629.4886922665019,1614.964414800018,1617.7096488323814,1623.574594257464,1630.8890742707724,1638.0478525861718,1642.1916020689846,1634.3708971047822,1625.1370553518655,1619.8212656155617,1623.431802890151,1635.9146926609728,1650.975915443323,1638.5216461644243,1637.0134706769861,1631.4272639558524,1628.4281786038212,1632.630802305074,1645.3675433955639,1638.9220219590475,1656.9833411434151,1691.1082225120567,1647.4300853678649,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114
9,1678.0140363648288,1614.2257261253228,1592.6426087459433,1591.7673505500054,1611.1261579592563,1640.007734098313,1661.302157820031,1670.5145342040053,1648.835755941295,1639.190805709284,1626.7968105641912,1619.1421511169897,1616.5967938896342,1614.6719102616385,1600.0123076431255,1598.1599085218486,1602.024530435333,1607.2900787646192,1613.7439219202547,1620.4802368874814,1619.2717988344793,1612.0451246238379,1601.7578465581453,1595.6885134896536,1599.4456530122739,1613.3274470989247,1609.956373124966,1616.6619677272206,1615.8500945881235,1610.9147707390182,1608.7141815570326,1613.645072340813,1600.0917917266734,1616.3924062462252,1635.375025287451,1633.5549019926639,1643.4366712407254,1656.1627574198199,1663.3160916199079,1676.2009904199465,1634.2337831720083,1667.697282303378,1664.3058317835391,1671.0960434923497,1685.2291223871644,1626.8773056977254,1636.8631353213127,1663.807306367157,1676.0434221682162,1676.148026955273,1632.1533533922552,1639.683420371899,1618.1310233574918,1623.6422568334783,1639.320220107546,1620.2680719364844,1647.5667326621838,1662.588602268139,1641.603715388418,1639.320220107546,1676.2465654424113,1751.2267323931542,1746.7434256610554,1782.0461024908027,1734.7535394182278,1701.975687723804,1777.6095373773069,1738.6360491391645,1744.084519742917,1728.1073634459444,1707.7786480074114,1698.222359081902
